"Participant Id","Trial Number","Viztype:","True Percentage","Reported Percentage"
"247","2","BubbleChart","63","66"
"247","3","GradientGraph","47","47"
"243","2","BubbleChart","43","30"
"243","3","GradientGraph","78","85"
"250","1","BarGraph","89","90"
"250","2","BubbleChart","100","100"
"253","1","BarGraph","63","66"
"250","3","GradientGraph","88","90"
"253","2","BubbleChart","47","50"
"256","1","BarGraph","67","70"
"256","3","GradientGraph","4","5"
"253","3","GradientGraph","51","50"
"261","1","BarGraph","62","66"
"265","1","BarGraph","2","5"
"267","3","GradientGraph","82","90"
"271","1","BarGraph","57","55"
"271","3","GradientGraph","42","40"
"276","2","BubbleChart","31","40"
"276","3","GradientGraph","37","42"
"256","2","BubbleChart","32","42"
"260","1","BarGraph","62","64"
"260","2","BubbleChart","61","67"
"260","3","GradientGraph","99","99"
"261","2","BubbleChart","77","80"
"261","3","GradientGraph","54","60"
"267","1","BarGraph","66","60"
"267","2","BubbleChart","51","50"
"265","2","BubbleChart","2","2"
"271","2","BubbleChart","57","50"
"276","1","BarGraph","31","37"
"279","1","BarGraph","63","68"
"279","2","BubbleChart","11","15"
"279","3","GradientGraph","31","31"
"282","1","BarGraph","93","93"
"282","2","BubbleChart","94","90"
"282","3","GradientGraph","99","99"
"285","1","BarGraph","11","11"
"285","2","BubbleChart","70","65"
"285","3","GradientGraph","63","63"
"288","1","BarGraph","28","34"
"288","2","BubbleChart","94","88"
"288","3","GradientGraph","53","57"
"291","1","BarGraph","61","61"
"291","2","BubbleChart","65","70"
"291","3","GradientGraph","73","76"
"294","1","BarGraph","87","85"
"294","2","BubbleChart","66","70"
"294","3","GradientGraph","76","75"
"265","3","GradientGraph","76","75"
"297","1","BarGraph","93","95"
"297","2","BubbleChart","63","50"
"297","3","GradientGraph","54","60"
"300","1","BarGraph","16","11"
"300","1","BarGraph","69","75"
"300","2","BubbleChart","32","20"
"300","2","BubbleChart","40","33"
"300","3","GradientGraph","52","56"
"300","3","GradientGraph","97","98"
"306","1","BarGraph","53","55"
"306","2","BubbleChart","56","50"
"306","3","GradientGraph","42","80"
"309","1","BarGraph","11","13"
"309","2","BubbleChart","12","12"
"309","3","GradientGraph","8","10"
"312","1","BarGraph","34","43"
"312","2","BubbleChart","70","60"
"312","3","GradientGraph","28","33"
"315","1","BarGraph","76","74"
"315","2","BubbleChart","12","21"
"315","3","GradientGraph","73","70"
"318","1","BarGraph","67","70"
"318","2","BubbleChart","100","100"
"318","3","GradientGraph","55","54"
"321","1","BarGraph","88","90"
"321","2","BubbleChart","88","90"
"321","3","GradientGraph","29","28"
"324","1","BarGraph","62","60"
"324","2","BubbleChart","89","83"
"324","3","GradientGraph","4","6"
"327","1","BarGraph","45","47"
"327","2","BubbleChart","80","82"
"327","3","GradientGraph","37","42"
"330","1","BarGraph","18","22"
"330","2","BubbleChart","12","7"
"330","3","GradientGraph","84","83"
"333","1","BarGraph","71","70"
"333","2","BubbleChart","92","99"
"333","3","GradientGraph","70","68"
"336","1","BarGraph","60","58"
"336","2","BubbleChart","62","56"
"336","3","GradientGraph","9","11"
"339","1","BarGraph","55","58"
"339","2","BubbleChart","59","62"
"339","3","GradientGraph","96","98"
"342","1","BarGraph","6","6"
"342","2","BubbleChart","5","5"
"342","3","GradientGraph","84","80"
"345","1","BarGraph","19","24"
"345","2","BubbleChart","59","61"
"345","3","GradientGraph","25","26"
"348","1","BarGraph","16","20"
"348","2","BubbleChart","22","15"
"348","3","GradientGraph","9","12"
"351","1","BarGraph","70","68"
"351","2","BubbleChart","73","70"
"351","3","GradientGraph","21","26"
"354","1","BarGraph","58","60"
"354","2","BubbleChart","37","30"
"354","3","GradientGraph","33","40"
